,lh_G_and_S_frontomargin_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-ventral_volume,lh_G_cuneus_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Triangul_volume,lh_G_front_middle_volume,lh_G_front_sup_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_G_insular_short_volume,lh_G_occipital_middle_volume,lh_G_occipital_sup_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_orbital_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Supramar_volume,lh_G_parietal_sup_volume,lh_G_postcentral_volume,lh_G_precentral_volume,lh_G_precuneus_volume,lh_G_rectus_volume,lh_G_subcallosal_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temporal_inf_volume,lh_G_temporal_middle_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-post_volume,lh_Pole_occipital_volume,lh_Pole_temporal_volume,lh_S_calcarine_volume,lh_S_central_volume,lh_S_cingul-Marginalis_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_sup_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_post_volume,lh_S_front_inf_volume,lh_S_front_middle_volume,lh_S_front_sup_volume,lh_S_interm_prim-Jensen_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_sup_and_transversal_volume,lh_S_occipital_ant_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_med_and_Lingual_volume,lh_S_orbital_lateral_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital-H_Shaped_volume,lh_S_parieto_occipital_volume,lh_S_pericallosal_volume,lh_S_postcentral_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-sup-part_volume,lh_S_suborbital_volume,lh_S_subparietal_volume,lh_S_temporal_inf_volume,lh_S_temporal_sup_volume,lh_S_temporal_transverse_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med_and_Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume
414229,2198,2371,2336,3067,1279,4476,2854,2268,974,215,1968,2858,603,2786,8381,14015,864,1525,3205,2368,2256,3869,3240,4919,3808,6391,4925,3097,4838,4482,1921,879,761,4377,1249,1993,6610,5726,615,636,1717,2048,4249,3521,3369,1676,798,1956,2365,2173,440,3567,2566,4395,672,5420,1398,989,581,995,2151,605,992,2208,2508,787,3263,1923,1589,1159,981,1850,6607,504,2552,3319,2303,3614,2892,6222,3561,3685,1448,833,3986,3643,1199,2242,11071,18571,1355,2118,5379,3019,3974,6224,5225,7359,7465,8086,4755,3897,6359,5293,1856,906,937,5281,1758,1841,8512,8117,448,190,2678,5556,6215,4405,4217,2519,963,2311,2488,2250,1012,3499,3750,5077,722,6299,2191,2074,1146,2180,2764,730,1574,2883,3770,1915,3413,3491,2161,638,1352,1826,9299,392
541943,2800,3409,2547,3811,1915,5325,2893,2695,1315,386,3150,3251,687,2952,11711,16658,808,1707,4652,2949,3992,4059,3230,5887,5486,7587,6053,3742,5315,6111,2059,817,1184,6473,1388,2030,8180,6828,682,326,1705,3245,6853,3687,4009,1599,961,2145,2264,1473,451,4567,3090,4512,873,4490,1918,1515,1186,929,3173,901,1329,2611,2952,1085,4088,2243,1444,1363,1583,2693,9167,610,2449,2880,2349,2751,2630,6041,2947,2766,1488,803,3129,3962,1016,2749,11500,16649,799,1282,4833,3617,4724,4647,3826,6142,7622,5887,4376,4159,6118,5245,1633,917,835,5148,1359,1462,7974,8207,730,209,2179,3450,5437,3543,3749,1853,957,2062,1815,1794,512,3042,5033,3874,639,4670,954,2731,1151,897,2725,640,1243,2689,3501,3905,3437,2899,1649,1261,2420,3559,9537,527
206525,2856,3862,2917,3760,1747,6800,2990,2862,1395,718,3676,3873,538,3151,15413,20877,1599,2741,6784,2970,6202,6088,3965,7218,7492,8142,7875,4088,7861,8038,2786,1022,1136,6774,2155,2154,13583,9435,586,607,1775,3153,6053,4563,4562,1602,1035,2940,3136,2889,712,4750,2872,6726,444,6607,1895,2434,2332,2471,4816,654,1928,2949,3586,2083,4531,2621,3169,1284,2594,2985,11266,512,2533,3751,2328,3894,3971,7309,4641,3622,2085,477,4038,4257,1005,2590,10414,21681,1249,2447,6424,3297,5906,6113,5356,7684,10138,6776,4874,4086,7630,6874,2147,989,1373,6543,2246,2619,9767,10065,1015,441,2644,6042,5334,4006,4755,2351,1233,2810,2630,2650,821,4058,5358,5575,1048,4928,2151,2807,1982,2111,4425,716,1590,2867,4844,2174,4476,2597,3140,857,3297,2881,13956,558
146533,2822,3802,3251,2977,1880,7144,3552,2918,1452,822,4104,4749,603,3455,11100,20389,1660,2857,5202,3134,5090,7205,3515,6692,7261,8575,8688,4604,7179,7471,2657,898,1392,7735,1907,2565,8541,11571,638,506,2214,4359,6043,4674,4845,2151,860,2965,2638,2533,947,4164,3761,6705,963,5672,2882,1788,1215,1150,4444,896,1806,3205,3860,1185,5858,2274,2281,1720,1990,3165,10304,553,2422,3202,2983,2287,3195,6964,4277,4300,1693,626,4040,2950,1141,3988,10321,21017,1511,2486,5661,4156,6947,7404,4356,7792,7951,8330,5809,4724,9163,7761,1738,926,858,7225,1725,2219,8045,12513,865,598,2168,5601,5533,4037,5030,2633,1677,2314,2327,2043,1051,3115,4385,5306,1269,6953,1778,2966,2033,1979,3872,497,1570,3225,4410,1636,4244,2590,3290,445,1996,1913,12774,389
194746,1908,3488,2536,3138,1425,4673,2876,2698,1370,482,3378,3969,771,1994,9300,17215,1160,2356,4761,2483,5324,5552,3903,5373,5851,6329,5894,4240,6268,7235,2317,691,1189,6193,1756,2160,6522,7731,514,377,1496,2507,6100,4571,4173,1363,877,2430,2707,2157,998,3878,2569,4573,455,4884,1627,2086,1299,1341,3842,684,1424,2411,4172,1501,4077,2077,1994,1015,1457,1962,9703,658,1769,3269,2283,2697,2578,5512,3392,2936,1561,510,3619,3950,845,2902,9868,15773,1088,2218,4618,2861,5834,6513,4622,5999,7373,6182,4429,3841,5687,7223,1631,594,953,4776,2409,1535,5566,9943,653,352,2047,5131,5244,4198,4070,1875,1104,1863,2580,1734,1280,3354,3844,4924,1192,4425,1517,2993,879,1708,4394,783,1251,2232,3508,2095,3559,2268,1969,386,1888,2121,10286,580
196851,2236,5487,3942,2877,1879,6155,2859,3153,2570,533,4178,3369,760,3235,12144,19546,1596,2626,4641,3660,7121,6013,2974,6916,7774,8273,6221,4635,7294,7318,2637,220,1015,6559,2159,2264,8912,8548,489,533,1576,3425,5417,4781,4904,2498,999,1869,3076,1840,598,4299,2843,4928,1260,5893,1561,2550,1729,2630,3619,890,1805,3091,3231,1251,5030,2522,2679,1716,1610,2415,8896,603,2589,2433,2420,3281,3666,6347,3967,3933,2178,783,4659,4267,922,2612,10590,20050,1455,2061,6062,3940,5865,5563,2804,7911,7851,7889,5896,4316,6298,7490,1825,787,941,5403,1842,1991,9018,10273,617,397,2403,5455,5426,4464,4343,2538,1153,1944,2670,2057,1132,3393,4068,5287,743,5660,1192,3362,937,1768,3602,648,1488,3090,4110,1952,4137,2938,2204,869,2526,2642,13233,477
818455,2308,3709,2387,3379,1725,4881,2400,2397,1374,503,3624,3193,664,3398,10934,17790,1062,2515,5395,2717,4298,6358,3850,6734,6435,7085,6670,4316,7137,6475,2489,803,1132,6042,2139,2875,7461,7620,618,447,2140,3538,6648,4428,4439,1399,882,2579,2592,1732,867,3916,2511,4706,266,4566,1920,2275,1385,1330,3726,836,1752,2690,3397,961,4104,2713,1897,1311,1458,2699,8818,688,1844,2694,2159,3013,2695,5571,3240,2979,1419,553,3767,3355,874,2734,9600,17626,1427,2209,5539,3634,5392,6320,4444,7657,8949,5977,5435,4451,7637,7386,2045,464,911,5184,1811,1636,6117,9075,507,295,2266,5216,5720,4167,4578,1653,970,2089,2272,2707,1038,3623,3386,4074,697,5690,1405,2965,1021,1558,4357,630,1554,2887,3177,1123,2999,2918,1926,513,1907,1771,10659,379
371843,1697,2693,2443,3212,1547,4121,2394,2630,1494,499,3270,3652,459,2721,11852,16128,1095,1519,5394,2129,6219,5468,4061,5712,7325,5558,6274,4582,6058,5286,2278,322,1155,5833,1853,1427,9952,8860,637,513,1564,2612,6372,3611,4179,1766,872,2443,2497,2728,578,4345,1983,4496,337,4995,1389,2025,1370,1392,4013,496,1561,2717,3521,1661,4050,2518,1716,1153,2179,3190,10468,705,2049,2937,2924,2819,2011,5777,3163,2793,1495,545,3290,3681,1026,2017,10487,15368,841,1576,5148,3543,4601,5804,4548,6565,7839,8181,2612,5056,6067,4838,1895,567,1028,6251,1527,1935,8170,10121,444,428,2439,4383,5851,3992,4302,1954,990,2161,2232,2447,926,4337,3754,3642,1460,4192,1598,2315,1194,1955,2579,1180,1542,2716,3210,1327,3549,2992,1958,535,2067,2546,9628,725
148941,2403,3057,1974,3801,1993,4638,2912,2178,1556,384,2667,4247,669,2348,10670,16436,1160,1750,4390,2623,4800,5296,3593,6381,5398,6728,5633,4169,6251,5705,2384,747,972,6225,1535,1919,7541,8602,478,277,1480,2959,6172,2661,4005,1367,838,2620,2999,1868,623,4531,2245,4222,1357,4587,1619,2019,1146,1591,3005,918,1346,2138,2620,1391,4160,2910,1854,862,1834,2263,9985,761,1884,2054,2044,2973,2536,5493,3211,2760,1173,692,2744,3372,877,2645,10608,16178,1339,1910,5317,3509,3595,5092,3418,6689,7604,5998,3906,3560,6509,5775,1677,491,897,5593,1437,1906,7570,8960,504,267,2274,4452,5749,2814,4386,1535,860,2160,2115,1867,944,3886,3879,4554,1028,5088,1161,2707,1598,1620,3348,804,1453,2307,3154,1261,3748,3308,1471,601,2127,2673,10631,603
317332,2136,4134,2735,3482,1822,4780,2988,3093,1519,643,3541,4211,689,2893,12934,17943,1275,2012,5013,2857,3907,6826,2602,6177,5373,6178,4643,5520,6961,6652,2927,1088,1011,6107,1728,2011,6441,9443,459,447,1506,3635,5643,4452,5051,1667,920,2341,2480,1819,900,4609,2920,5130,804,4462,1625,2568,1444,822,4602,712,1515,2685,3806,1342,4670,3134,2443,932,1832,2123,10266,597,2238,2795,1937,3477,3001,5171,3459,3031,1688,605,3173,4944,924,3190,12086,18326,1143,2229,5278,4305,4681,6810,3045,5936,6073,5572,4601,4634,7246,6698,1501,467,1002,5381,1561,1652,5277,10359,583,360,2111,6121,5235,4134,4668,1709,787,1999,2044,1626,1291,3412,3677,5750,1159,4382,1787,2751,1998,1355,3077,506,1508,2775,3152,2036,4957,2607,2350,684,2427,2328,11522,468
